,Unnamed: 0,url,Model_Name,Color,Product_Features,Main_Image,Selling_Price,Product_Type,Gender,Down_Feather_Percentage,Natural_Leather_Percentage,PU_Percentage,Carbon_Percentage,Waterproof,Breathable,Abrasion_Resistance,Elasticity,Ultra_Lightweight,Insulation,Windproof,Lightweight,Heating,man,woman
0,0,https://www.thenorthfacekorea.co.kr/product/NA5AP70A,써밋 런 트레이닝 팩 12,Black,"Summit Run Training Pack 12는 360도 방향에서 모두 반사 기능을 가졌습니다.
12L 저장 기능을 가진 RUN VEST와 PACK이 합쳐진 제품입니다.
틍기성이 우수한 쿨소재와 FlashDry™ 소재로 습도조절이 우수한 소재를 사용하였습니다.
안전 지퍼가 있는 레이어드 포켓 및 자켓 형태의 포켓이 내장되어있습니다.
배낭을 빼지 않고 내부 물건을 꺼낼수 있는 편리한 시스템이 내장되어있습니다.
뒷단 위의 주머니는 트레킹 폴에 조절하여 달리는 동안 안전하게 고정이 가능합니다.
안전형 지퍼로된 핸드폰용 포켓이 내장되어있습니다.
플라스크 물병은 포함되어 있지않습니다.",https://image.thenorthfacekorea.co.kr/cmsstatic/product/NA5AP70A_NA5AP70A_primary.jpg,183200,Other,남여공용,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1,1,https://www.thenorthfacekorea.co.kr/product/NA5AP70B,써밋 런 트레이닝 팩 12,Blue,"Summit Run Training Pack 12는 360도 방향에서 모두 반사 기능을 가졌습니다.
12L 저장 기능을 가진 RUN VEST와 PACK이 합쳐진 제품입니다.
틍기성이 우수한 쿨소재와 FlashDry™ 소재로 습도조절이 우수한 소재를 사용하였습니다.
안전 지퍼가 있는 레이어드 포켓 및 자켓 형태의 포켓이 내장되어있습니다.
배낭을 빼지 않고 내부 물건을 꺼낼수 있는 편리한 시스템이 내장되어있습니다.
뒷단 위의 주머니는 트레킹 폴에 조절하여 달리는 동안 안전하게 고정이 가능합니다.
안전형 지퍼로된 핸드폰용 포켓이 내장되어있습니다.
플라스크 물병은 포함되어 있지않습니다.",https://image.thenorthfacekorea.co.kr/cmsstatic/product/4000034134/NA5AP70B_NA5AP70B_primary.jpg,183200,Other,남여공용,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2,2,https://www.thenorthfacekorea.co.kr/product/NA5AQ50A,메리노 울 바라클라바 N,Black,"Merino Wool 혼방 원사를 사용한 가벼우면서도 보온성이 우수한 바라클라바입니다.
뛰어난 신축성과 입체형 패턴으로 착용감이 우수하며, 메리노울의 우수한 온도조절 특성으로 따뜻하게 착용할 수 있습니다.
흡습, 속건 기능, 자연적인 항균, 소취 기능들이 있어, 아웃도어 산행 또는 겨울 스포츠 등에 활용하기 좋습니다.
Merino Wool 혼방 원사를 사용한 가벼우면서도 보온성이 우수한 바라클라바입니다.
뛰어난 신축성과 입체형 패턴으로 착용감이 우수하며, 메리노울의 우수한 온도조절 특성으로 따뜻하게 착용할 수 있습니다.
흡습, 속건 기능, 자연적인 항균, 소취 기능들이 있어, 아웃도어 산행 또는 겨울 스포츠 등에 활용하기 좋습니다.",https://image.thenorthfacekorea.co.kr/cmsstatic/product/NA5AQ50A_NA5AQ50A_primary.jpg,35100,Other,남여공용,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1
3,3,https://www.thenorthfacekorea.co.kr/product/NA5AQ53A,TNF 디테쳐블 키 홀더,Black,"노스페이스만의 분리형 키홀더 입니다.
상단 후크를 사용하여 바지또는 가방 웨빙등에 걸어 사용이 가능합니다.
필요시 후크를 빼지않고 중간에 위치한 버클로 분리하여 사용이 가능합니다.
하단에 적용된 걸이는 오프너 기능이있어 사용이 용이합니다.
가벼운 알류미늄 소재를 사용하여 튼튼하면서도 가볍습니다.
여행 또는 평상시에 가방에 걸어 사용 할 수 있어 사용이 용이합니다.
노스페이스만의 분리형 키홀더 입니다.
상단 후크를 사용하여 바지또는 가방 웨빙등에 걸어 사용이 가능합니다.
필요시 후크를 빼지않고 중간에 위치한 버클로 분리하여 사용이 가능합니다.
하단에 적용된 걸이는 오프너 기능이있어 사용이 용이합니다.
가벼운 알류미늄 소재를 사용하여 튼튼하면서도 가볍습니다.
여행 또는 평상시에 가방에 걸어 사용 할 수 있어 사용이 용이합니다.",https://image.thenorthfacekorea.co.kr/cmsstatic/product/NA5AQ53A_NA5AQ53A_primary.jpg,14400,Other,남여공용,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
4,4,https://www.thenorthfacekorea.co.kr/product/NA5AQ53B,TNF 디테쳐블 키 홀더,Khaki,"노스페이스만의 분리형 키홀더 입니다.
상단 후크를 사용하여 바지또는 가방 웨빙등에 걸어 사용이 가능합니다.
필요시 후크를 빼지않고 중간에 위치한 버클로 분리하여 사용이 가능합니다.
하단에 적용된 걸이는 오프너 기능이있어 사용이 용이합니다.
가벼운 알류미늄 소재를 사용하여 튼튼하면서도 가볍습니다.
여행 또는 평상시에 가방에 걸어 사용 할 수 있어 사용이 용이합니다.
노스페이스만의 분리형 키홀더 입니다.
상단 후크를 사용하여 바지또는 가방 웨빙등에 걸어 사용이 가능합니다.
필요시 후크를 빼지않고 중간에 위치한 버클로 분리하여 사용이 가능합니다.
하단에 적용된 걸이는 오프너 기능이있어 사용이 용이합니다.
가벼운 알류미늄 소재를 사용하여 튼튼하면서도 가볍습니다.
여행 또는 평상시에 가방에 걸어 사용 할 수 있어 사용이 용이합니다.",https://image.thenorthfacekorea.co.kr/cmsstatic/product/NA5AQ53B_NA5AQ53B_primary.jpg,14400,Other,남여공용,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
5,5,https://www.thenorthfacekorea.co.kr/product/NA5AQ53C,TNF 디테쳐블 키 홀더,Red,"노스페이스만의 분리형 키홀더 입니다.
상단 후크를 사용하여 바지또는 가방 웨빙등에 걸어 사용이 가능합니다.
필요시 후크를 빼지않고 중간에 위치한 버클로 분리하여 사용이 가능합니다.
하단에 적용된 걸이는 오프너 기능이있어 사용이 용이합니다.
가벼운 알류미늄 소재를 사용하여 튼튼하면서도 가볍습니다.
여행 또는 평상시에 가방에 걸어 사용 할 수 있어 사용이 용이합니다.
노스페이스만의 분리형 키홀더 입니다.
상단 후크를 사용하여 바지또는 가방 웨빙등에 걸어 사용이 가능합니다.
필요시 후크를 빼지않고 중간에 위치한 버클로 분리하여 사용이 가능합니다.
하단에 적용된 걸이는 오프너 기능이있어 사용이 용이합니다.
가벼운 알류미늄 소재를 사용하여 튼튼하면서도 가볍습니다.
여행 또는 평상시에 가방에 걸어 사용 할 수 있어 사용이 용이합니다.",https://image.thenorthfacekorea.co.kr/cmsstatic/product/NA5AQ53C_NA5AQ53C_primary.jpg,14400,Other,남여공용,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
6,6,https://www.thenorthfacekorea.co.kr/product/NA5AQ53D,TNF 디테쳐블 키 홀더,Dark_navy,"노스페이스만의 분리형 키홀더 입니다.
상단 후크를 사용하여 바지또는 가방 웨빙등에 걸어 사용이 가능합니다.
필요시 후크를 빼지않고 중간에 위치한 버클로 분리하여 사용이 가능합니다.
하단에 적용된 걸이는 오프너 기능이있어 사용이 용이합니다.
가벼운 알류미늄 소재를 사용하여 튼튼하면서도 가볍습니다.
여행 또는 평상시에 가방에 걸어 사용 할 수 있어 사용이 용이합니다.
노스페이스만의 분리형 키홀더 입니다.
상단 후크를 사용하여 바지또는 가방 웨빙등에 걸어 사용이 가능합니다.
필요시 후크를 빼지않고 중간에 위치한 버클로 분리하여 사용이 가능합니다.
하단에 적용된 걸이는 오프너 기능이있어 사용이 용이합니다.
가벼운 알류미늄 소재를 사용하여 튼튼하면서도 가볍습니다.
여행 또는 평상시에 가방에 걸어 사용 할 수 있어 사용이 용이합니다.",https://image.thenorthfacekorea.co.kr/cmsstatic/product/NA5AQ53D_NA5AQ53D_primary.jpg,14400,Other,남여공용,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
7,7,https://www.thenorthfacekorea.co.kr/product/NA5AR00A,티엔에프 뤠스트릿,Black,"땀을 빠르게 흡수, 건조시켜 주는 나일론66 소재의 TACTEL 원단을 사용한 팔토시입니다.
운동 또는 야외 활동에 사용이 가능하며, 냉감 기능과 UV-C 기능이 우수합니다.
뛰어난 스트레치성으로 착용감이 우수한 제품입니다.
땀을 빠르게 흡수, 건조시켜 주는 나일론66 소재의 TACTEL 원단을 사용한 팔토시입니다.
운동 또는 야외 활동에 사용이 가능하며, 냉감 기능과 UV-C 기능이 우수합니다.
뛰어난 스트레치성으로 착용감이 우수한 제품입니다.",https://image.thenorthfacekorea.co.kr/cmsstatic/product/NA5AR00A_NA5AR00A_primary.jpg,29000,Other,남여공용,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
8,8,https://www.thenorthfacekorea.co.kr/product/NA5AR00B,티엔에프 뤠스트릿,White,"땀을 빠르게 흡수, 건조시켜 주는 나일론66 소재의 TACTEL 원단을 사용한 팔토시입니다.
운동 또는 야외 활동에 사용이 가능하며, 냉감 기능과 UV-C 기능이 우수합니다.
뛰어난 스트레치성으로 착용감이 우수한 제품입니다.
땀을 빠르게 흡수, 건조시켜 주는 나일론66 소재의 TACTEL 원단을 사용한 팔토시입니다.
운동 또는 야외 활동에 사용이 가능하며, 냉감 기능과 UV-C 기능이 우수합니다.
뛰어난 스트레치성으로 착용감이 우수한 제품입니다.",https://image.thenorthfacekorea.co.kr/cmsstatic/product/NA5AR00B_NA5AR00B_primary.jpg,29000,Other,남여공용,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
9,9,https://www.thenorthfacekorea.co.kr/product/NA5AR03A,눕시 베스트 키링,Black,"눕시 베스트를 축소한 노스페이스만의 키링입니다.
여행 또는 평상시에 가방에 걸어 사용 할 수 있어 사용이 용이합니다.
눕시 베스트를 축소한 노스페이스만의 키링입니다.
여행 또는 평상시에 가방에 걸어 사용 할 수 있어 사용이 용이합니다.",https://image.thenorthfacekorea.co.kr/cmsstatic/product/NA5AR03A_NA5AR03A_primary.jpg,26100,Other,남여공용,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
