url,모델명,제품소재,색상,사이즈,제조사,제조국,제조연월,품질보증기준,A/S 책임자와 전화번호,상품특징,대표이미지,판매가,제품 주소재,"크기, 중량",종류,소재,크기
https://www.k-village.co.kr/goods/DWM232621Y,[특별적립] AQUA(아쿠아) 여성 반팔 스웨터 (Yellow),겉감:면 38% 아크릴 37% 나일론 25%,Yellow,"S,M,L,XL",(주)아이더,베트남,23년 02월,관련법 및 소비자 분쟁 해결 규정에 따름,본사 고객상담실 / 1533-1631,"[여름 여성 반팔 폴로 스웨터]
-효성社의 쿨 라이크 원사로 제작된 스웨터
-에리, 소매, 밑단 RIB 적용하여 편안한 착용감 제공",https://contents.k-village.co.kr/Prod/2023/D/DWM232621Y/DWM232621Y_DM_01.jpg/k2dims/resize/520/extent/520x694/optimize/image/composite/water3,139000,,,,,
https://www.k-village.co.kr/goods/DMW23507Z1,CORE HV (코어 HV) 남성 다운 자켓 (Black),겉감:나일론 100% / 안감1:나일론 100% / 안감2:폴리에스터 100% / 충전재1:솜털 80% 깃털 20% / 충전재2:폴리에스터 100%,Black,"M,L,XL,XXL",(주)아이더,베트남,2023년 08월,관련법 및 소비자 분쟁 해결 규정에 따름,본사 고객상담실 / 1533-1631,"[남성 논퀼팅 원정형 헤비 다운 자켓]
 - 몸판에 지퍼 포켓 사양으로 수납에 용이함
 - 후드 탈부착 사양에, 후드 조임 테이프가 있어 사이즈 조절 가능
 - 패커블이 가능하며, 패커블 주머니가 함께 제공됨
 - 윤리적인 방법으로 생산한 RDS (RESPONSIBLE DOWN STANDARD) 인증 다운 사용",https://contents.k-village.co.kr/Prod/2023/D/DMW23507Z1/DMW23507Z1_DM_01.jpg/k2dims/resize/520/extent/520x694/optimize,499000,,,,,
https://www.k-village.co.kr/goods/DMW24533Z1,CAMPYLO (캄피로) 남성 윈드스타퍼 헤비 다운 자켓 (Black),겉감1:나일론 100% / 겉감2:폴리에스터 100% / 겉감3:나일론 82% 폴리우레탄 18% / 겉감4:폴리에스터 100% / 안감1:나일론 100% / 안감2:폴리에스터 100% / 안감3:폴리에스터 100% / 안감4:폴리에스터 100% / 충전재:우모(거위)솜털 90% 깃털 10%,Black,"M,L,XL,XXL",(주)아이더,베트남,2024년 08월,관련법 및 소비자 분쟁 해결 규정에 따름,본사 고객상담실 / 1533-1631,"[CAMPYLO (캄피로) 남성 윈드스타퍼 헤비 다운 자켓]
아이더는 물론 아웃도어를 대표하는 대장급 다운 자켓

- 극한의 추위도 이겨낼 수 있는 아이더는 물론 아웃도어를 대표하는 대장급 다운 자켓 입니다.
- 저중량 플레인 조직과 립 조직의 원단을 하이브리드해 부드럽고 소프트한 터치감과 고기능성 GORE-TEX WINDSTOPPER 2레이어 원단을 겉감으로 적용시켰습니다.
- GORE-TEX WINDSTOPPER 원단의 특장점
완벽한 방풍성 (Totally Windproof) 고어 멤브레인이 자켓에 적용되어 어떤 바람도 완벽하게 차단하여 더 오래 따뜻하고 편안하게 보호합니다.
뛰어난 투습성 (Very Breathable) 땀으로 인한 습기가 혁신적인 멤브레인을 통해 쉽게 밖으로 배출되며 이를 통해 몸의 온도와 습도를 균형 있고 쾌적하게 유지합니다.
내수성 (Water Resistant) 옷의 표면에서 물방울이 튕겨져 바로 흘러내려 가벼운 비와 눈으로부터 젖지 않게 보호합니다.
- GOOSE DOWN 90:10 800FP 충전재가 L사이즈 기준 : 520G 적용되었습니다.
- BOX WALL 공법으로 충전재 층의 공간을 확보함으로써 보온성을 높였습니다.
- 후드 부착형이며 벨로아 이중넥으로 외부 공기를 차단하며 보온성을 극대화 했습니다. 
- 소매로 유입되는 바람을 차단해주며 소매 기장감을 조정할 수 있는 벨크로 비죠 디테일이 적용되었습니다. 
- 소매 이너커프스가 적용되어 소매로 유입되는 바람을 완벽히 차단해 보온성을 높여줍니다.
- 방풍 기능과 총장 길이를 조정할 수 있는 밑단 스트링 디테일이 적용되었습니다. 
- 외부 활동시 수납이 편리한 포켓 지퍼와 가슴 포켓이 적용되었습니다.
- 등판 발열안감을 적용해 체내 열 순환 효율성 및 보온성을 유지합니다.
- 이중 플라켓 구조로 외부 공기를 완벽히 차단해 방풍성이 뛰어납니다.",https://contents.k-village.co.kr/Prod/2024/D/DMW24533Z1/DMW24533Z1_DG_01.jpg/k2dims/resize/520/extent/520x694/optimize,990000,,,,,
https://www.k-village.co.kr/goods/DUW22547C2,AIRBORNE IGLOO (에어본 이글루) UNI 다운 자켓,"겉감1 : 나일론 100%, 겉감2 : 나일론 80% 폴리우레탄 20%, 안감1 : 나일론 100%, 안감2 : 폴리에스터 100%, 안감3 : 폴리에스터 100%, 안감4 : 폴리에스터 100%, 충전재 : 우모 (거위) 솜털 80% 깃털 20%",Light Grey,"XS,S,M,L,XL,XXL,3XL",(주)아이더,미얀마,2022년 8월,관련법 및 소비자 분쟁 해결 규정에 따름,본사 고객상담실 / 1533-1631,"[‘가볍고 따뜻하다! 를 직관적으로 보여주는 AIRBORNE SERIES의 헤비 다운 자켓]
- 고급스러운 광택의 저데니어 소재를 사용과 벌키함으로 새로운 실루엣을 제공
- 가볍지만 보온성 매우 우수
- 일체형 오버 사이즈의 후드로 포인트
- HANZOOM PACKABLE BAG 제공
- 윤리적인 방법으로 생산한 RDS (RESPONSIBLE DOWN STANDARD) 인증 구스 다운 사용",https://contents.k-village.co.kr/Prod/2022/D/DUW22547C2/DUW22547C2_DF_01.jpg/k2dims/resize/520/extent/520x694/optimize,449000,,,,,
https://www.k-village.co.kr/goods/DUW22547B7,AIRBORNE IGLOO (에어본 이글루) 남여공용 다운 자켓 (Indian Blue),"겉감1 : 나일론 100%, 겉감2 : 나일론 80% 폴리우레탄 20%, 안감1 : 나일론 100%, 안감2 : 폴리에스터 100%, 안감3 : 폴리에스터 100%, 안감4 : 폴리에스터 100%, 충전재 : 우모 (거위) 솜털 80% 깃털 20%",Indian Blue,"S,M,L,XL,XXL",(주)아이더,미얀마,2022년 8월,관련법 및 소비자 분쟁 해결 규정에 따름,본사 고객상담실 / 1533-1631,"[‘가볍고 따뜻하다! 를 직관적으로 보여주는 AIRBORNE SERIES의 헤비 다운 자켓]
- 고급스러운 광택의 저데니어 소재를 사용과 벌키함으로 새로운 실루엣 제공
- 가볍지만 보온성 매우 우수
- 일체형 오버 사이즈의 후드로 포인트
- HANZOOM PACKABLE BAG 제공
- 윤리적인 방법으로 생산한 RDS (RESPONSIBLE DOWN STANDARD) 인증 구스 다운 사용",https://contents.k-village.co.kr/Prod/2022/D/DUW22547B7/DUW22547B7_DF_01.JPG/k2dims/resize/520/extent/520x694/optimize,449000,,,,,
https://www.k-village.co.kr/goods/DWW23549Z1,GL (GO LIGHT) 여성 긴기장 다운 자켓 (Black),겉감:나일론 100% / 안감1:나일론 100% / 안감2:폴리에스터 100% / 충전재:솜털 80% 깃털 20%,Black,"S,M,L,XL",(주)아이더,베트남,2023년 08월,관련법 및 소비자 분쟁 해결 규정에 따름,본사 고객상담실 / 1533-1631,"[겨울 여성 긴기장 다운 자켓]
-가벼운 나일론 소재를 사용하여 따뜻하면서도 무겁지 않은, LIGHT한 중량감이 특징
-허리 스트링으로 핏 조절이 가능한 제품
-후드 일체형 디자인
-CHINA GOOSE 80:20(RDS)",https://contents.k-village.co.kr/Prod/2023/D/DWW23549Z1/DWW23549Z1_DF_01.jpg/k2dims/resize/520/extent/520x694/optimize,399000,,,,,
https://www.k-village.co.kr/goods/DWM23262IC,AQUA(아쿠아) 여성 반팔 스웨터 (L/Blue),겉감:면 38% 아크릴 37% 나일론 25%,Light Blue,"S,M,L,XL",(주)아이더,베트남,23년 02월,관련법 및 소비자 분쟁 해결 규정에 따름,본사 고객상담실 / 1533-1631,"[여름 여성 반팔 폴로 스웨터]
-효성社의 쿨 라이크 원사로 제작된 스웨터
-에리, 소매, 밑단 RIB 적용하여 편안한 착용감 제공",https://contents.k-village.co.kr/Prod/2023/D/DWM23262IC/DWM23262IC_DF_01.JPG/k2dims/resize/520/extent/520x694/optimize,139000,,,,,
https://www.k-village.co.kr/goods/DMP23163Z1,JET (제트) 남성 봄버 자켓 (Black),겉감:폴리에스터 100% / 안감:폴리에스터100%,Black,"M,L,XL",(주)아이더,베트남,22년 12월,관련법 및 소비자 분쟁 해결 규정에 따름,본사 고객상담실 / 1533-1631,"[남성 간절기 안감형 봄버 자켓]
- 카라형 디자인에 착좌 디자인 포켓 적용
- 소매, 밑단 밴딩 처리",https://contents.k-village.co.kr/Prod/2023/D/DMP23163Z1/DMP23163Z1_DF_01.JPG/k2dims/resize/520/extent/520x694/optimize,219000,,,,,
https://www.k-village.co.kr/goods/DUU23N92E2,[리오더] 오브제 클로그 (Beige),,Beige,상세페이지 참조,(주)아이더,한국,,관련법 및 소비자 분쟁 해결 규정에 따름,본사 고객상담실 / 1533-1631,"★DUA23N80E2의 리오더 제품입니다. 
https://www.k-village.co.kr/goods/DUA23N80E2

<아이더만의 비율로 탄생한, 아이카롱 폼 적용 저탄성 리커버리 클로그>
-전략적으로 탄성을 낮춘 배합으로, 적당히 발을 받쳐주면서 오래 신을수록 쫀득한 착화감이 강점
-초경량으로 발의 피로도 최소화
-층간 소음 방지용으로도 탁월하여 실내/외 어디서든 착화가 가능
-""아이카롱"" 시리즈가 확장됨에 따라, ""오브제"" 시리즈로 네이밍 및 라인업 개편
-중량:146g (240mm)",https://contents.k-village.co.kr/Prod/2023/D/DUU23N92E2/DUU23N92E2_DM_01.jpg/k2dims/resize/520/extent/520x694/optimize,65000,갑피소재:I.P (INJECTION PHYLON) / 창소재:I.P (INJECTION PHYLON),ㆍ중량:146g (240mm),,,
https://www.k-village.co.kr/goods/DMP22112N4,TREA (트레아) 남성 고어 인피니움 아노락,겉감1 폴리에스터 100% 겉감2 폴리에스터 100% 안감1 나일론 100% 안감2 폴리에스터 100%,Navy,"M,L,XL,XXL",(주)아이더,인도네시아,2021년12월,관련법 및 소비자 분쟁 해결 규정에 따름,본사 고객상담실 / 1644-7781,"<고어 인피니움 아노락 자켓>
- 솔리드 원단 사용
-방수 방풍기능이 탁월",https://contents.k-village.co.kr/Prod/2022/D/DMP22112N4/DMP22112N4_DF_01.JPG/k2dims/resize/520/extent/520x694/optimize,245000,,,,,
